,ID_number,isbn,num_pages,year_first_published,cover_imgae_url,genres,average_rating,number_ratings,title
7,274893,0571088570,608,1952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514656463l/274893._SY475_.jpg,"['Poetry', 'Plays', 'Classics', 'Drama', 'Literature', 'Fiction', 'Literature > 20th Century', 'Literature > American', 'Anthologies > Collections', 'Anthologies']",4.36,6536,The Complete Poems and Plays
8,25981,0516225219,31,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389064431l/25981.jpg,"['Biography', 'Childrens > Picture Books', 'Nonfiction']",4.14,43,Harriet Tubman
9,277251,0099282615,274,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388189565l/880.jpg,"['Historical > Historical Fiction', 'Fiction', 'Historical', 'Cultural > Italy', 'Thriller', 'Mystery', 'Novels', 'Roman', 'Adventure', 'Audiobook']",3.85,41902,Pompeii
10,86591,1565922603,1156,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328834224l/86591.jpg,"['Computer Science > Programming', 'Reference', 'Computer Science > Technical', 'Science > Computer Science', 'Nonfiction', 'Science > Technology', 'Computer Science > Computers', 'Computer Science > Software', 'Pop Culture > Geek', 'Computer Science > Coding']",4.16,679,UNIX Power Tools
11,245341,1232340154,256,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436166289l/245341._SX318_.jpg,"['Biography', 'Nonfiction', 'Autobiography > Memoir']",4.06,179,"Fall Down, Laughing: How Squiggy Caught Multiple Sclerosis and Didn't Tell Nobody"
12,277516,0061052280,473,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387739895l/277516.jpg,"['Fantasy', 'Fiction', 'Short Stories', 'Anthologies']",3.61,88,David Copperfield's Tales of the Impossible
13,171803,8437603099,176,1620,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316732339l/171803.jpg,"['Classics', 'Drama', 'European Literature > Spanish Literature', 'Plays', 'Plays > Theatre', 'Academic > School', 'Cultural > Spain', 'Literature > 17th Century', 'Romance', 'Spanish History > Siglo De Oro']",3.48,1904,El caballero de Olmedo
14,149802,0060009306,272,2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349000371l/149802.jpg,"['Self Help', 'Nonfiction', 'Psychology', 'Relationships', 'Philosophy', 'Marriage', 'Spirituality', 'Unfinished']",4.01,424,"How Can I Forgive You?: The Courage to Forgive, the Freedom Not To"
15,121611,0704342545,288,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401113052l/121611.jpg,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Religion', 'Apocalyptic > Post Apocalyptic', 'Literature > 20th Century']",3.61,181,The Wall Around Eden
16,12023,0613887646,358,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386748898l/12023.jpg,['Young Adult'],3.53,55,Teen Ink: Love and Relationships
17,17182,0747563136,480,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389808993l/17182.jpg,"['Music', 'Nonfiction', 'Writing > Essays', 'Writing > Journalism']",3.57,127,The Sound and the Fury: 40 Years of Classic Rock Journalism: A Rock's Backpages Reader
